হাগদবনি,ꯍꯥꯒꯗꯕꯅꯤ
মেনেজর,ꯃꯦꯅꯦꯖꯔ
উপুশীং,ꯎꯄꯨꯁꯤꯡ
পাউমীদগীইম্ফাল,ꯄꯥꯎꯃꯤꯗꯒꯤꯏꯝꯐꯥꯜ
লিঙ্গুইস্ত,ꯂꯤꯡꯒꯨꯏꯁꯇ
সর্ফেস,ꯁꯔꯐꯦꯁ
কমান্দর,ꯀꯃꯥꯟꯗꯔ
কপ্পদু,ꯀꯞꯄꯗꯨ
পুল্লৈ,ꯄꯨꯜꯂꯩ
লিংলিং,ꯂꯤꯡꯂꯤꯡ
একাউন্টসওদিত,ꯑꯦꯀꯥꯎꯟꯇꯁꯑꯣꯗꯤꯠ
ঈশীংচাইবী,ꯏꯁꯤꯡꯆꯥꯏꯕꯤ
লাক্ত্রে,ꯂꯥꯛꯇꯔ꯭ꯦ
মথম্মোয়্দা,ꯃꯊꯝꯃꯣꯌꯗꯥ
ড্ডত্মঝঞ্ঝ,ꯗꯗ꯭ꯠꯃꯓꯟꯓ
খূঙ্গংদি,ꯈꯨꯡꯒꯪꯗꯤ
কয়ামুক্তি,ꯀꯌꯥꯃꯨꯛꯇꯤ
লেংজুম,ꯂꯦꯡꯖꯨꯝ
পীখিবগুম্না,ꯄꯤꯈꯤꯕꯒꯨꯝꯅꯥ
নুমিত্তি,ꯅꯨꯃꯤꯠꯇꯤ
পুরক্সি,ꯄꯨꯔꯛꯁꯤ
পিথক্নবশীং,ꯄꯤꯊꯛꯅꯕꯁꯤꯡ
ঙানুশীং,ꯉꯥꯅꯨꯁꯤꯡ
পায়খৎলক্লিবা,ꯄꯥꯌꯈꯠꯂꯛꯂꯤꯕ
থবিরক্পা,ꯊꯕꯤꯔꯛꯄꯥ
শুংপু,ꯁꯨꯡꯄꯨ
কেসশীং,ꯀꯦꯁꯁꯤꯡ
সাউন্দ,ꯁꯥꯎꯟꯗ
কুন্থা,ꯀꯨꯟꯊꯥ
ঙম্হাই,ꯉꯝꯍꯥꯏ
মৈচাক,ꯃꯩꯆꯥꯛ
লুচিং,ꯂꯨꯆꯤꯡ
ফখ্রেনে,ꯐꯈꯔ꯭ꯦꯅꯦ
তেন্দেন্সি,ꯇꯦꯟꯗꯦꯟꯁꯤ
হায়্রুরে,ꯍꯥꯌꯔ꯭ꯨꯔꯦ
সুভদ্রগী,ꯁꯨꯚꯗꯔ꯭ꯒꯤ
ইনজিন,ꯏꯟꯖꯤꯟ
য়ামদে,ꯌꯥꯝꯗꯦ
তৌগদ্রা,ꯇꯧꯒꯗꯔ꯭ꯥ
মখোয়্না,ꯃꯈꯣꯌꯅꯥ
মপুক্চেল,ꯃꯄꯨꯛꯆꯦꯜ
শীজিন্নখি,ꯁꯤꯖꯤꯟꯅꯈꯤ
লাকেদো,ꯂꯥꯀꯦꯗꯣ
লৌউশিংউগী,ꯂꯧꯎꯁꯤꯡꯎꯒꯤ
খোংথাংখক্তনি,ꯈꯣꯡꯊꯥꯡꯈꯛꯇꯅꯤ
মতৌশিল্লক্পা,ꯃꯇꯧꯁꯤꯜꯂꯛꯄꯥ
য়েংলুগে,ꯌꯦꯡꯂꯨꯒꯦ
য়ারক্তবসু,ꯌꯥꯔꯛꯇꯕꯁꯨ
খাওজাও,ꯈꯥꯑꯣꯖꯥꯑꯣ
এজেন্সিশিংগী,ꯑꯦꯖꯦꯟꯁꯤꯁꯤꯡꯒꯤ
শুহন্নবগী,ꯁꯨꯍꯟꯅꯕꯒꯤ
পীবিয়ু,ꯄꯤꯕꯤꯌꯨ
রেদিওএক্টিভ,ꯔꯦꯗꯤꯑꯣꯑꯦꯛꯇꯤꯚ
য়ৌরক্পা,ꯌꯧꯔꯛꯄꯥ
তাগনি,ꯇꯥꯒꯅꯤ
সাপোন্না,ꯁꯥꯄꯣꯟꯅꯥ
স্মাইল,ꯁꯃ꯭ꯥꯏꯜ
ক্বাতর,ꯀꯋ꯭ꯥꯇꯔ
চংশিল্লু,ꯆꯪꯁꯤꯜꯂꯨ
নুমিত্তসু,ꯅꯨꯃꯤꯠꯇꯁꯨ
পাইলোটশীং,ꯄꯥꯏꯂꯣꯠꯁꯤꯡ
মীরোল্লিঙৈ,ꯃꯤꯔꯣꯜꯂꯤꯉꯩ
মচাগি,ꯃꯆꯥꯒꯤ
তাক্পা,ꯇꯥꯛꯄꯥ
কটিংএদজ,ꯀꯇꯤꯡꯑꯦꯗꯖ
ৱায়েল্,ꯋꯥꯌꯦꯜ
পুমলৌ,ꯄꯨꯝꯂꯧ
ওইগনি,ꯑꯣꯏꯒꯅꯤ
লৈবদদি,ꯂꯩꯕꯗꯗꯤ
য়ারবা,ꯌꯥꯔꯕ
মাংনিংঙাই,ꯃꯥꯡꯅꯤꯡꯉꯥꯏ
লৈবদুবু,ꯂꯩꯕꯗꯨꯕꯨ
এপার্টমেন্টশীং,ꯑꯦꯄꯥꯔꯇꯃꯦꯟꯇꯁꯤꯡ
মুজিশীং,ꯃꯨꯖꯤꯁꯤꯡ
হেন্দোক্না,ꯍꯦꯟꯗꯣꯛꯅꯥ
মতাগুম্,ꯃꯇꯥꯒꯨꯝ
থোক্ত্রিঙৈ,ꯊꯣꯛꯇꯔ꯭ꯤꯉꯩ
পোত্থাবদগী,ꯄꯣꯠꯊꯥꯕꯗꯒꯤ
অতৈদি,ꯑꯇꯩꯗꯤ
হায়্জৈ,ꯍꯥꯌꯖꯩ
এসোসিএশন্দি,ꯑꯦꯁꯣꯁꯤꯑꯦꯁꯟꯗꯤ
রিফরেন্স,ꯔꯤꯐꯔꯦꯟꯁ
ছাত্রশীংগীদমক্তা,ꯁꯥꯇꯔ꯭ꯁꯤꯡꯒꯤꯗꯃꯛꯇ
নাকোংদগী,ꯅꯥꯀꯣꯡꯗꯒꯤ
চহীদসু,ꯆꯍꯤꯗꯁꯨ
হন্থরে,ꯍꯟꯊꯔꯦ
পুখ্রে,ꯄꯨꯈꯔ꯭ꯦ
ষ্টোকিং,ꯁꯇ꯭ꯣꯀꯤꯡ
থিওরি,ꯊꯤꯑꯣꯔꯤ
বাইওদিজেল,ꯕꯥꯏꯑꯣꯗꯤꯖꯦꯜ
পার্সনেল,ꯄꯥꯔꯁꯅꯦꯜ
চাজররোই,ꯆꯥꯖꯔꯔꯣꯏ
পঙ্কচরগী,ꯄꯡꯀꯆꯔꯒꯤ
পায়খৎখিগনি,ꯄꯥꯌꯈꯠꯈꯤꯒꯅꯤ
ফুন্জিন্খ্রে,ꯐꯨꯟꯖꯤꯟꯈꯔ꯭ꯦ
নোংজু,ꯅꯣꯡꯖꯨ
শিফ্টশীং,ꯁꯤꯐꯇꯁꯤꯡ
শান্নরুবদগী,ꯁꯥꯟꯅꯔꯨꯕꯗꯒꯤ
জর্নেলিষ্টনি,ꯖꯔꯅꯦꯂꯤꯁꯇꯅꯤ
জিদিজেল,ꯖꯤꯗꯤꯖꯦꯜ
লৈতেংই,ꯂꯩꯇꯦꯡꯏ
খাউজাউ,ꯈꯥꯎꯖꯥꯎ
খুদোংথীবনি,ꯈꯨꯗꯣꯡꯊꯤꯕꯅꯤ
নীপাল্,ꯅꯤꯄꯥꯜ
দিভিজন,ꯗꯤꯚꯤꯖꯟ
বেল্টশীং,ꯕꯦꯜꯇꯁꯤꯡ
ফ্রোজন,ꯐꯔ꯭ꯣꯖꯟ
টিকেটিং,ꯇꯤꯀꯦꯇꯤꯡ
কাক্ফৈজাওবী,ꯀꯥꯛꯐꯩꯖꯥꯑꯣꯕꯤ
শুংদাইনবী,ꯁꯨꯡꯗꯥꯏꯅꯕꯤ
শিন্খ্রগনি,ꯁꯤꯟꯈꯔ꯭ꯒꯅꯤ
ক্রষ্ট,ꯀꯔ꯭ꯁꯇ
লুচিংবশিং,ꯂꯨꯆꯤꯡꯕꯁꯤꯡ
হয়েংঅয়ুক্,ꯍꯌꯦꯡꯑꯌꯨꯛ
শাংগদবনি,ꯁꯥꯡꯒꯗꯕꯅꯤ
সুমাঙ্,ꯁꯨꯃꯥꯡ
ত্রাফিকিংগী,ꯇꯔ꯭ꯥꯐꯤꯀꯤꯡꯒꯤ
দাইভর্সিটিবু,ꯗꯥꯏꯚꯔꯁꯤꯇꯤꯕꯨ
থাপ্না,ꯊꯥꯞꯅꯥ
হায়রিবসিগী,ꯍꯥꯌꯔꯤꯕꯁꯤꯒꯤ
ভিলেজশীং,ꯚꯤꯂꯦꯖꯁꯤꯡ
হকচিক,ꯍꯛꯆꯤꯛ
তৌজবা,ꯇꯧꯖꯕ
শিরগনি,ꯁꯤꯔꯒꯅꯤ
লৈরিক,ꯂꯩꯔꯤꯛ
নত্তে,ꯅꯠꯇꯦ
ময়াম্সিবু,ꯃꯌꯥꯝꯁꯤꯕꯨ
য়োন্শিল্লুরগে,ꯌꯣꯟꯁꯤꯜꯂꯨꯔꯒꯦ
মীশীংগী,ꯃꯤꯁꯤꯡꯒꯤ
শুদনা,ꯁꯨꯗꯅ
লাইনিংথৌ,ꯂꯥꯏꯅꯤꯡꯊꯧ
থমজিন্নবগীদমক্তা,ꯊꯝꯖꯤꯟꯅꯕꯒꯤꯗꯃꯛꯇ
ইন্টরষ্টেট,ꯏꯟꯇꯔꯁꯇꯦꯠ
থোঙ্গত্নরক্পগী,ꯊꯣꯡꯒꯠꯅꯔꯛꯄꯒꯤ
লৌউবগী,ꯂꯧꯎꯕꯒꯤ
হায়্জবোইরে,ꯍꯥꯌꯖꯕꯣꯏꯔꯦ
নিকোটিন,ꯅꯤꯀꯣꯇꯤꯟ
খারিফকী,ꯈꯥꯔꯤꯐꯀꯤ
সেষ্টিফেক্সন,ꯁꯦꯁꯇꯤꯐꯦꯛꯁꯟ
ওরিয়েন্টেল,ꯑꯣꯔꯤꯌꯦꯟꯇꯦꯜ
হন্দোক্নবগী,ꯍꯟꯗꯣꯛꯅꯕꯒꯤ
দোক্তর,ꯗꯣꯛꯇꯔ
হেল্লে,ꯍꯦꯜꯂꯦ
হায়্নখিবগী,ꯍꯥꯌꯅꯈꯤꯕꯒꯤ
মেমোরিয়েল,ꯃꯦꯃꯣꯔꯤꯌꯦꯜ
হংগদবনি,ꯍꯪꯒꯗꯕꯅꯤ
লৈরকপ্রা,ꯂꯩꯔꯛꯄꯔ꯭ꯥ
ইজীপ্তকী,ꯏꯖꯤꯞꯇꯀꯤ
খংদ্রিঙৈদগী,ꯈꯪꯗꯔ꯭ꯤꯉꯩꯗꯒꯤ
খেন্নৈ,ꯈꯦꯟꯅꯩ
তোক্পিরো,ꯇꯣꯛꯄꯤꯔꯣ
ওবষ্ট্রেটিক,ꯑꯣꯕꯁꯇꯔ꯭ꯦꯇꯤꯛ
নুপীশীংগী,ꯅꯨꯄꯤꯁꯤꯡꯒꯤ
থক্নিংঙাই,ꯊꯛꯅꯤꯡꯉꯥꯏ
মরুভুমি,ꯃꯔꯨꯚꯨꯃꯤ
প্রদেশকী,ꯄꯔ꯭ꯗꯦꯁꯀꯤ
সোশাল,ꯁꯣꯁꯥꯜ
খক্তা,ꯈꯛꯇ
হোৎলি,ꯍꯣꯠꯂꯤ
লৌখোংশীং,ꯂꯧꯈꯣꯡꯁꯤꯡ
নবচন্দ্রগী,ꯅꯕꯆꯟꯗꯔ꯭ꯒꯤ
ইবীয়ু,ꯏꯕꯤꯌꯨ
এটেম্পগী,ꯑꯦꯇꯦꯝꯄꯒꯤ
ফাষ্টত্রেক,ꯐꯥꯁꯇꯇꯔ꯭ꯦꯛ
দাইভর্সিটি,ꯗꯥꯏꯚꯔꯁꯤꯇꯤ
মীদুবু,ꯃꯤꯗꯨꯕꯨ
প্রোসিজর,ꯄꯔ꯭ꯣꯁꯤꯖꯔ
য়ৈবদু,ꯌꯩꯕꯗꯨ
য়াউরি,ꯌꯥꯎꯔꯤ
রাজেন্দ্র,ꯔꯥꯖꯦꯟꯗꯔ꯭
বোরাদু,ꯕꯣꯔꯥꯗꯨ
ইন্দ্রনাথ,ꯏꯟꯗꯔ꯭ꯅꯥꯊ
ডাক্তর,ꯗꯥꯛꯇꯔ
ত্রেদিস্নেল,ꯇꯔ꯭ꯦꯗꯤꯁꯅꯦꯜ
আইএনএ,ꯑꯥꯏꯑꯦꯟꯑꯦ
তাল্লে,ꯇꯥꯜꯂꯦ
গ্রুপস,ꯒꯔ꯭ꯨꯞꯁ
প্রোসেস,ꯄꯔ꯭ꯣꯁꯦꯁ
খোঙ্চত্কী,ꯈꯣꯡꯆꯠꯀꯤ
মোনোক্সাইদ,ꯃꯣꯅꯣꯛꯁꯥꯏꯗ
রেফ্রিজরেসন,ꯔꯦꯐꯔ꯭ꯤꯖꯔꯦꯁꯟ
খুম্নববু,ꯈꯨꯝꯅꯕꯕꯨ
তাঞ্জরবসু,ꯇꯥꯟꯖꯔꯕꯁꯨ
প্রিভিলেজ,ꯄꯔ꯭ꯤꯚꯤꯂꯦꯖ
মীয়াৎ,ꯃꯤꯌꯥꯠ
মায়োক্নগনি,ꯃꯥꯌꯣꯛꯅꯒꯅꯤ
ইনভেষ্টিগেসনশীংগী,ꯏꯟꯚꯦꯁꯇꯤꯒꯦꯁꯟꯁꯤꯡꯒꯤ
লাপ্না,ꯂꯥꯞꯅꯥ
হুরান্গে,ꯍꯨꯔꯥꯟꯒꯦ
প্রাজাশিংদসু,ꯄꯔ꯭ꯥꯖꯥꯁꯤꯡꯗꯁꯨ
য়ুংগনি,ꯌꯨꯡꯒꯅꯤ
ৱাশেম,ꯋꯥꯁꯦꯝ
খঙদবশিংনা,ꯈꯡꯗꯕꯁꯤꯡꯅ
লুহোংসি,ꯂꯨꯍꯣꯡꯁꯤ
মীওইশিংদগী,ꯃꯤꯑꯣꯏꯁꯤꯡꯗꯒꯤ
অমুক্তং,ꯑꯃꯨꯛꯇꯪ
পূম্ঙল্,ꯄꯨꯝꯉꯜ
পার্সিএল্লি,ꯄꯥꯔꯁꯤꯑꯦꯜꯂꯤ
ৱাইকুপ,ꯋꯥꯏꯀꯨꯞ
এলোৎমেন্তকী,ꯑꯦꯂꯣꯠꯃꯦꯟꯇꯀꯤ
শাংদোক্পগী,ꯁꯥꯡꯗꯣꯛꯄꯒꯤ
জেল্লি,ꯖꯦꯜꯂꯤ
চনবীবা,ꯆꯟꯕꯤꯕ
মোনোসেচুরেটেদ,ꯃꯣꯅꯣꯁꯦꯆꯨꯔꯦꯇꯦꯗ
তাকপীতম্বীগদবনি,ꯇꯥꯛꯄꯤꯇꯝꯕꯤꯒꯗꯕꯅꯤ
মশীংদি,ꯃꯁꯤꯡꯗꯤ
গ্রামিন,ꯒꯔ꯭ꯥꯃꯤꯟ
ভত্তচারজিগী,ꯚꯠꯇꯆꯥꯔꯖꯤꯒꯤ
লান্মীশীং,ꯂꯥꯟꯃꯤꯁꯤꯡ
ভেন্দরশীংখক্কী,ꯚꯦꯟꯗꯔꯁꯤꯡꯈꯛꯀꯤ
মনুংদগী,ꯃꯅꯨꯡꯗꯒꯤ
কান্নবশিং,ꯀꯥꯟꯅꯕꯁꯤꯡ
রিসোর্সফুল,ꯔꯤꯁꯣꯔꯁꯐꯨꯜ
নুংঙাইত্রবোইরে,ꯅꯨꯡꯉꯥꯏꯇꯔ꯭ꯕꯣꯏꯔꯦ
কোরেস্পোঃেদঃট,ꯀꯣꯔꯦꯁꯄꯣঃꯦꯗঃꯠ
কাঙ্দোং,ꯀꯥꯡꯗꯣꯡ
থিজরকিবনি,ꯊꯤꯖꯔꯀꯤꯕꯅꯤ
ৱাংখৎহল্লি,ꯋꯥꯡꯈꯠꯍꯜꯂꯤ
নোক্নবিরম্মী,ꯅꯣꯛꯅꯕꯤꯔꯝꯃꯤ
লৈবাক্কা,ꯂꯩꯕꯥꯛꯀꯥ
থিংগদৌরিবনো,ꯊꯤꯡꯒꯗꯧꯔꯤꯕꯅꯣ
পাবিয়ু,ꯄꯥꯕꯤꯌꯨ
নুপাশীংগী,ꯅꯨꯄꯥꯁꯤꯡꯒꯤ
ঙক্খ্রে,ꯉꯛꯈꯔ꯭ꯦ
ওইরিবশিং,ꯑꯣꯏꯔꯤꯕꯁꯤꯡ
ফার্ষ্টএইদঅতৈ,ꯐꯥꯔꯁꯇꯑꯦꯏꯗꯑꯇꯩ
উরবোইরে,ꯎꯔꯕꯣꯏꯔꯦ
উতোংসি,ꯎꯇꯣꯡꯁꯤ
মরিনে,ꯃꯔꯤꯅꯦ
সভাপতি,ꯁꯚꯥꯄꯇꯤ
ব্রুসিলোসিস,ꯕꯔ꯭ꯨꯁꯤꯂꯣꯁꯤꯁ
অওনবা,ꯑꯑꯣꯟꯕ
কংবদা,ꯀꯪꯕꯗ
ষ্টেবিলিটি,ꯁꯇ꯭ꯦꯕꯤꯂꯤꯇꯤ
ফজখ্রে,ꯐꯖꯈꯔ꯭ꯦ
ফ্লেয়র,ꯐꯂ꯭ꯦꯌꯔ
নোংপোক্,ꯅꯣꯡꯄꯣꯛ
এটেষ্টেট,ꯑꯦꯇꯦꯁꯇꯦꯠ
লিটরেসি,ꯂꯤꯇꯔꯦꯁꯤ
চনুদু,ꯆꯅꯨꯗꯨ
ওথোরিটি,ꯑꯣꯊꯣꯔꯤꯇꯤ
তাথোক্,ꯇꯥꯊꯣꯛ
তৌথোরক্পদগী,ꯇꯧꯊꯣꯔꯛꯄꯗꯒꯤ
লৈরোইদবনি,ꯂꯩꯔꯣꯏꯗꯕꯅꯤ
মাইক্রোন্যুত্রিএন্ট,ꯃꯥꯏꯀꯔ꯭ꯣꯅꯌ꯭ꯨꯇꯔ꯭ꯤꯑꯦꯟꯇ
রিনোবেসনগী,ꯔꯤꯅꯣꯕꯦꯁꯟꯒꯤ
দিরেক্টর,ꯗꯤꯔꯦꯛꯇꯔ
মচানোনে,ꯃꯆꯥꯅꯣꯅꯦ
পান্জি,ꯄꯥꯟꯖꯤ
দিরেক্টোরেট,ꯗꯤꯔꯦꯛꯇꯣꯔꯦꯠ
দ্রোৱেল,ꯗꯔ꯭ꯣꯋꯦꯜ
পাৱরগী,ꯄꯥꯋꯔꯒꯤ
থীংজিল্লি,ꯊꯤꯡꯖꯤꯜꯂꯤ
এল্লোকেসন,ꯑꯦꯜꯂꯣꯀꯦꯁꯟ
ট্রেনিং,ꯇꯔ꯭ꯦꯅꯤꯡ
মমীংটেগলাইন,ꯃꯃꯤꯡꯇꯦꯒꯂꯥꯏꯟ
চুরক্পা,ꯆꯨꯔꯛꯄꯥ
কন্দিসদ,ꯀꯟꯗꯤꯁꯗ
চাবীগনু,ꯆꯥꯕꯤꯒꯅꯨ
থিরবসু,ꯊꯤꯔꯕꯁꯨ
ন্বাখল্লোন্না,ꯅꯋ꯭ꯥꯈꯜꯂꯣꯟꯅꯥ
মাতৃভূমি,ꯃꯥꯇꯔ꯭ꯤꯚꯨꯃꯤ
মরিদু,ꯃꯔꯤꯗꯨ
ন্যুত্রিএন্টশীংগী,ꯅꯌ꯭ꯨꯇꯔ꯭ꯤꯑꯦꯟꯇꯁꯤꯡꯒꯤ
নক্শিল্লক্পা,ꯅꯛꯁꯤꯜꯂꯛꯄꯥ
এদভর্টিজমেন্ট,ꯑꯦꯗꯚꯔꯇꯤꯖꯃꯦꯟꯇ
লোংদবা,ꯂꯣꯡꯗꯕ
উপ্পগা,ꯎꯞꯄꯒ
থাজিল্লে,ꯊꯥꯖꯤꯜꯂꯦ
ফ্রেন্স,ꯐꯔ꯭ꯦꯟꯁ
পোষ্টকী,ꯄꯣꯁꯇꯀꯤ
চীংবদসু,ꯆꯤꯡꯕꯗꯁꯨ
পীদ্রিঙৈ,ꯄꯤꯗꯔ꯭ꯤꯉꯩ
য়াথংদগী,ꯌꯥꯊꯪꯗꯒꯤ
নুতিগী,ꯅꯨꯇꯤꯒꯤ
রেপিষ্টশিং,ꯔꯦꯄꯤꯁꯇꯁꯤꯡ
খুদেং,ꯈꯨꯗꯦꯡ
এদজষ্টমেন্ট,ꯑꯦꯗꯖꯁꯇꯃꯦꯟꯇ
কৈথেলগা,ꯀꯩꯊꯦꯜꯒ
থৈদোক,ꯊꯩꯗꯣꯛ
এপ্রাইজেল,ꯑꯦꯄꯔ꯭ꯥꯏꯖꯦꯜ
সোসাইটিশীংগী,ꯁꯣꯁꯥꯏꯇꯤꯁꯤꯡꯒꯤ
তৌবনি,ꯇꯧꯕꯅꯤ
বিল্ডিংশিং,ꯕꯤꯜꯗꯤꯡꯁꯤꯡ
শেম্শারে,ꯁꯦꯝꯁꯥꯔꯦ
মচলশীং,ꯃꯆꯜꯁꯤꯡ
মখায়রোম,ꯃꯈꯥꯌꯔꯣꯝ
লাংলেন,ꯂꯥꯡꯂꯦꯟ
ভেরাইটি,ꯚꯦꯔꯥꯏꯇꯤ
লেল্লু,ꯂꯦꯜꯂꯨ
ক্বাক,ꯀꯋ꯭ꯥꯛ
লৈখিবনো,ꯂꯩꯈꯤꯕꯅꯣ
পীথগনি,ꯄꯤꯊꯒꯅꯤ
মোনেটিরি,ꯃꯣꯅꯦꯇꯤꯔꯤ
তেতাইগাওন,ꯇꯦꯇꯥꯏꯒꯥꯑꯣꯟ
জরম্মী,ꯖꯔꯝꯃꯤ
নুপাদগী,ꯅꯨꯄꯥꯗꯒꯤ
থোইবদু,ꯊꯣꯏꯕꯗꯨ
শান্তিপুরগী,ꯁꯥꯟꯇꯤꯄꯨꯔꯒꯤ
হুমাই,ꯍꯨꯃꯥꯏ
কম্পোষ্টগী,ꯀꯝꯄꯣꯁꯇꯒꯤ
ভেক্সিনেসন,ꯚꯦꯛꯁꯤꯅꯦꯁꯟ
ইন্টরেষ্টিং,ꯏꯟꯇꯔꯦꯁꯇꯤꯡ
মচাখায়বশিং,ꯃꯆꯥꯈꯥꯌꯕꯁꯤꯡ
সেন্তরনেস্নেল,ꯁꯦꯟꯇꯔꯅꯦꯁꯅꯦꯜ
টিঙ্করিং,ꯇꯤꯡꯀꯔꯤꯡ
অমাংঅতাগী,ꯑꯃꯥꯡꯑꯇꯥꯒꯤ
কিজবী,ꯀꯤꯖꯕꯤ
ভিএসএসি,ꯚꯤꯑꯦꯁꯑꯦꯁꯤ
কোনুংলোম্দা,ꯀꯣꯅꯨꯡꯂꯣꯝꯗꯥ
স্ক্বার,ꯁꯀ꯭ꯕꯥꯔ
খুদিগী,ꯈꯨꯗꯤꯒꯤ
শাঙাগী,ꯁꯥꯉꯥꯒꯤ
ইঞ্জিনিয়ারগী,ꯏꯟꯖꯤꯅꯤꯌꯥꯔꯒꯤ
সিনিয়র,ꯁꯤꯅꯤꯌꯔ
কৌনরে,ꯀꯧꯅꯔꯦ
নিংঙোল,ꯅꯤꯡꯉꯣꯜ
হংগত্ৱারোল,ꯍꯪꯒꯠꯋꯥꯔꯣꯜ
রাজ্যখক,ꯔꯥꯖꯌ꯭ꯈꯛ
কায়্দ্রে,ꯀꯥꯌꯗꯔ꯭ꯦ
লেবররশিংবু,ꯂꯦꯕꯔꯔꯁꯤꯡꯕꯨ
খরদুসু,ꯈꯔꯗꯨꯁꯨ
শরুতাং,ꯁꯔꯨꯇꯥꯡ
নাগারিক,ꯅꯥꯒꯥꯔꯤꯛ
লৌগল্লি,ꯂꯧꯒꯜꯂꯤ
উরক্তবদগী,ꯎꯔꯛꯇꯕꯗꯒꯤ
লাকপা,ꯂꯥꯛꯄ
শরূক্তুতং,ꯁꯔꯨꯛꯇꯨꯇꯪ
অৱাংবাদোজ,ꯑꯋꯥꯡꯕꯥꯗꯣꯖ
সেক্সরেসিওগী,ꯁꯦꯛꯁꯔꯦꯁꯤꯑꯣꯒꯤ
ষ্টদিজগী,ꯁꯇ꯭ꯗꯤꯖꯒꯤ
হায়বশীংসিগী,ꯍꯥꯌꯕꯁꯤꯡꯁꯤꯒꯤ
প্রিনেটেল,ꯄꯔ꯭ꯤꯅꯦꯇꯦꯜ
পরিংসি,ꯄꯔꯤꯡꯁꯤ
থৌওংশীং,ꯊꯧꯑꯣꯡꯁꯤꯡ
কৌগদগে,ꯀꯧꯒꯗꯒꯦ
